"Contract","Realized PNL","Realized PNL %","Close Time","PNL Details"
"
XPLUSDT Perp
Short
Cross","
< 0.01 USDT
< 0.01 USD","
+2.57%","
10/13/2025, 16:42:47","
Details"
"
QUSDT Perp
Long
Cross","
0.18 USDT
≈ 0.18 USD","
+1.42%","
10/13/2025, 16:35:52","
Details"
"
KGENUSDT Perp
Short
Cross","
0.01 USDT
≈ 0.01 USD","
+1.35%","
10/13/2025, 16:33:48","
Details"
"
RDNTUSDT Perp
Short
Cross","
0.01 USDT
≈ 0.01 USD","
+2.52%","
10/13/2025, 16:32:41","
Details"
"
ZKUSDT Perp
Long
Cross","
-0.24 USDT
≈ 0.24 USD","
-16.91%","
10/13/2025, 16:32:30","
Details"
"
BLURUSDT Perp
Long
Cross","
> -0.01 USDT
< 0.01 USD","
-2.90%","
10/13/2025, 16:31:23","
Details"
"
HIPPOUSDT Perp
Short
Cross","
0.04 USDT
≈ 0.04 USD","
+2.22%","
10/13/2025, 16:30:18","
Details"
"
RESOLVUSDT Perp
Long
Cross","
> -0.01 USDT
< 0.01 USD","
-4.96%","
10/13/2025, 16:28:27","
Details"
"
CROSSUSDT Perp
Long
Cross","
-0.03 USDT
≈ 0.03 USD","
-4.65%","
10/13/2025, 16:26:14","
Details"
"
A2ZUSDT Perp
Long
Cross","
-0.30 USDT
≈ 0.3 USD","
-4.82%","
10/13/2025, 16:23:39","
Details"
"
VETUSDT Perp
Short
Cross","
0.06 USDT
≈ 0.06 USD","
+2.21%","
10/13/2025, 16:23:28","
Details"
"
VOXELUSDT Perp
Long
Cross","
-0.21 USDT
≈ 0.21 USD","
-7.62%","
10/13/2025, 16:22:38","
Details"
"
SUSDT Perp
Long
Cross","
< 0.01 USDT
< 0.01 USD","
+1.05%","
10/13/2025, 16:17:00","
Details"
"
CAMPUSDT Perp
Long
Cross","
-0.82 USDT
≈ 0.82 USD","
-8.26%","
10/13/2025, 16:11:09","
Details"
"
UUSDT Perp
Short
Cross","
0.04 USDT
≈ 0.04 USD","
+2.18%","
10/13/2025, 16:02:37","
Details"
"
SAGAUSDT Perp
Long
Cross","
< 0.01 USDT
< 0.01 USD","
+1.89%","
10/13/2025, 15:57:19","
Details"
"
MITOUSDT Perp
Long
Cross","
0.01 USDT
≈ 0.01 USD","
+2.23%","
10/13/2025, 15:52:22","
Details"
"
CROSSUSDT Perp
Long
Cross","
-0.02 USDT
≈ 0.02 USD","
-1.32%","
10/13/2025, 15:45:37","
Details"
"
ENAUSDT Perp
Long
Cross","
< 0.01 USDT
< 0.01 USD","
+2.50%","
10/13/2025, 15:43:55","
Details"
"
WUSDT Perp
Long
Cross","
< 0.01 USDT
< 0.01 USD","
+2.92%","
10/13/2025, 15:43:34","
Details"
